keys,de,en
t8c9b048d2f,"So du hast dich entschieden, mich auf [b][color=gold]ewig[/color][/b] zu füttern?",So you've decided to feed me for [b][color=gold]eternity[/color][/b]?
t93ce6f08c4,Aber sowas von!,Ha! That's right.
tcb66b8da81,"Mh, und Jetzt?",And what now?
t51d0c17226,"Gute Frage, lass uns das Gespräch beeenden!","Good question, let's leave it at that!"
tcd71a5eef7,Nee! Es muss noch ein [b][color=gold]Tutorial [/color][/b] kommen!,We still have to do a [b][color=gold]Tutorial [/color][/b].
tf5523c9add,Egal ob du willst oder nicht!,If you want to or not.
t8929685b05,"Vielleicht weißt du gar nicht, [b][color=gold]wie man dieses Spiel spielt[/color][/b]!",Maybe you*ve got no idea [b][color=gold]how to play[/color][/b] the game!
t89962f9148,"Okay, Meister! Was soll ich machen?",Okay Boss! What should I do now?
tbe6ca56660,"Gut, als [b][color=gold]erstes[/color][/b] solltest du wissen, wie man [b][color=gold]Resourcen[/color][/b] bekommt.","Now then, for [b][color=gold]now[/color][/b] you need to learn how to farm [b][color=gold]resources[/color][/b]."
te6afc8eb0b,Klingt logisch!,Sounds about right!
t57850056b9,Wenigstens hast du einen Plan!,At least you've got a Plan.
t2ae9b1b6be,Aufpassen! Das ist [b][color=gold]Holz[/color][/b]!,ATTENTION!! That's [b][color=gold]wood[/color][/b].
t53e0432c4a,"Wenn du das abbaust, wird [b][color=gold]automatisch[/color][/b] Holz in dein [b][color=gold]Inventar[/color][/b] gepackt.",If you chop that tree down you'll get [b][color=gold]wood[/color][/b].
t31f0d25725,"Machst du es sogar ein paar mal, zerfällt er vollständig und du kriegst sogar [b][color=gold]noch einen Bonus[/color][/b]!",If you do that a few times in a row it'll eventually break and [b][color=gold]gives a bonus[/color][/b]!
t2e682f3c44,Verstanden?,Understood?
tb84f0bdd46,"Ja, Mega!",Awesome!
t9028046b3b,Versteh ich nicht,I don't get it :/
t994e465d5e,Ich glaube das musst du mir nochmal erklären :/,Can you explain that again?
t0bce42a1bc,Das ist ja mega geil! Ich schätze mal das es beim [b][color=gold]Stein[/color][/b] genauso ist?,That's amazing! I guess it'S gonna be the same for [b][color=gold]stone[/color][/b]?
t2f835762fd,Du hast es kapiert! Ich krieg bald endlich essen!,You finally got it. Soon i'll have something to eat :D
t78ec8ea940,Später musst du natürlich die [b][color=gold]Resourcen weiter verarbeiten[/color][/b]! Ich esse doch nicht immer das gleiche!,You'll have to [b][color=gold]process your ressources[/color][/b] later on since I don't want to eat the same thing over and over again.
t0932168111,"Einiges kannst du später nur [b][color=gold]durch Maschinen[/color][/b] bekommen, z.B. Holz -> Holzkohle im Ofen!",A few things can only be obtained by [b][color=gold]using a machine[/color][/b] to craft them. e.g. Charcoal by using the oven.
t8dcd2b204b,Aber jetzt mal nicht so schnell! Okay?,And now hurry okay?
t547bb9cdbc,Wie funktioniert überhaupt die [b][color=gold]Steuerung[/color][/b]?,How do the [b][color=gold]control[/color][/b] even work?
td12692d5e2,"Stimmt. Ja, [b][color=gold]WASD[/color][/b] um dich zu bewegen und nutze die [b][color=gold]Maus[/color][/b] um mit Sachen zu interagieren!",Right. Use [b][color=gold]WASD[/color][/b] to move around and the [b][color=gold]mouse[/color][/b] to interact with things.
td92848a6f8,"Vergiss auch nicht, mal auf [b][color=gold]ESC (Inventar)[/color][/b] oder auf [b][color=gold]J (Baumenü)[/color][/b] zu drücken!",And remember to press [b][color=gold]ESC (Inventory)[/color][/b] or [b][color=gold]J (Buildmenu)[/color][/b] from time to time.
t149581540b,"Soll ganz nützlich sein, wenn du das Spiel spielen willst.",Could be useful while playing the game.
t192e53da0b,Das macht natürlich Sinn!,Makes sense.
t7d8abac959,Ich glaube du musst mir die Steuerung nochmal erklären.,I think you'll have to explain the controlls again.
tae997d8e61,"Gut, den solltest du jetzt das wichtigste Wissen besitzen.",Allright. With that you should now 
t843e54b219,"Wenn du noch [b][color=gold]weitere Hilfe[/color][/b] brauchst, guck unbedingt mal unter [b][color=gold]ESC (Hilfe)[/color][/b]",If you still need [b][color=gold]more help press ESC (help)[/color][/b].
te911b6bcf7,"Da stehen, je nachdem wie weit du bist, nützliche Informationen!","Depending on your progress, there might be some usefull information."
t5bf4591767,"Ich starte dann mal den [b][color=gold]Stoppuhr[/color][/b], bis ich unbedingt [b][color=gold]was zu essen[/color][/b] haben muss.",I'll start the [b][color=gold]Timer[/color][/b] for when I [b][color=gold]need to eat[/color][/b] sometihing again.
t2a1760bd15,"Bleib in der Zeit, bring mir die geforderten Resourcen und ich werde dich nicht essen!","Try to stay within the time limit, bring me the ressources I want and then I won't eat you. "
td8e4ea2ba3,Man. Da kriegt man ja gleich selber hunger auf ein Stück Holz!,Damn. Almost makes you want to eat a pice of wood yourself.
t545ae50c2a,"Also - Resourcen [b][color=gold]farmen[/color][/b], weiter [b][color=gold]verarbeiten[/color][/b], eventuell [b][color=gold]automatisieren[/color][/b] und den dieser Insel immer etwas zu [b][color=gold]essen bringen[/color][/b]!","So let me get that right, [b][color=gold]farm[/color][/b] resscourses, [b][color=gold]process[/color][/b] them, [b][color=gold]automate[/color][/b] the process eventually and always [b][color=gold]get the island something to eat[/color][/b]."
t718293417c,Das krieg sogar ich hin!,Even I can do that.
Boss,Chef,Boss
Spieler,Spieler,Player
